Departamento,Fechas,Lugar,Festividades
Cajamarca,11-15 de setiembre,Jaén,Feria del señor de Huamantanga
Cajamarca,14 de setiembre,Chota,Festividad de la Virgen Dolorosa
Cajamarca,29 de setiembre,San Miguel,Fiesta patronal de San Miguel Arcángel
Cajamarca,1 de octubre,San Ignacio (Chirinos),La Virgen del Rosario
Cajamarca,4 de octubre,Contumazá,Fiesta de Santa Teresita
Cajamarca,12 de octubre,Contumazá,San Francisco de Asís
Cajamarca,18 de octubre,Cajamarca,El Señor de los Milagros
Cajamarca,25 de octubre,San Marcos,Fiesta Patronal de San Marcos
Cajamarca,28 de octubre,Contumazá,Fiesta de la Virgen del Rosario de Chiquinquirá
Cajamarca,1 de noviembre,"Cajamarca, Áncash, la Libertad, Piura",Fiesta de Todos los Santos
Cajamarca,8 de diciembre,"Cajabamba, Celendín",Fiesta de La Purísima
Cajamarca,10 de diciembre,"Cajamarca, Áncash",Fiesta de la Inmaculada Concepción
Cajamarca,24 de diciembre,Todo el departamento,Navidad
Cajamarca,27 de diciembre,Contumazá,Fiesta de la Virgen del Arco
Cajamarca,31 de diciembre,San Miguel (Nanchoc),Festividad de San Silvestre
Cusco,03 de enero,Provincia de Cusco,Fiesta del Señor del Calvario
Cusco,06 de enero,"Anta, Ollantaytambo",Bajada de los Reyes Magos
Cusco,20 de enero,Canas,Enfrentamiento ritual o Chiaraqe
Cusco,20 de enero,Toda la región,Fiesta de San Sebastián
Cusco,03 de febrero,"Barrio de San Blas, ciudad del Cusco",Fiesta del Dulce Nombre de Jesús
Cusco,Febrero (móvil),Toda la región,Carnavales
Cusco,Marzo-abril (móvil),Toda la región,Semana Santa
Cusco,1 de mayo,Toda la región,Cruzvelacut o fiesta de la cruz
Cusco,Mayo (móvil),Cusco,Festival Internacional de la cerveza Cusqueña
Cusco,Mayo-junio (móvil),Ocongate,"Fiesta y peregrinación del Señor
de Qoyllur Rit’ i"
Cusco,1 quincena de junio,"Cusco, Sacsayhuamán",Fiesta del Corpus Christi
Cusco,24 de junio,Ollantaytambo,Fiesta de Ollantay Raymi
Cusco,16 de julio,"Cusco, Sacsayhuamán",Fiesta del Inti Raymi
Cusco,24 de junio,Paucartambo,Fiesta de la Virgen del Carmen
Cusco,31 de julio,Diversas provincias,Fiesta del bautizo del ganado
Cusco,Agosto (móvil),Cusco,Huarachikuy
Cusco,04 de agosto,Ollantaytambo,Fiesta de Nuestra Señora de las Nieves
Cusco,30 de agosto,Toda la región,Fiesta de Santa Rosa
Cusco,08 de setiembre,Urubamba (Chinchero),Fiesta de la Virgen de la Natividad
Cusco,Octubre (móvil),Cusco,Semana Turística del Cusco
Cusco,01 – 02 de noviembre,Toda la región,"Festividad de Todos los Santos y Día
de los Difuntos"
Cusco,08 de diciembre,Toda la región,Fiesta de la Inmaculada Concepción
Cusco,18 de diciembre,Cusco,Fiesta de San Blas
Cusco,24 de diciembre,Cusco,Santuranticuy
Cusco,31 de diciembre,"Quiquijana, Quispicanchis",Fiesta del Niño Huayna Cápac
Huancavelica,1 de enero,"Huancavelica, Huaytará","El Niño Callaucarpino y danzas. Danza
de los Negritos."
Huancavelica,1-8 de enero,Tayacaja,Año Nuevo.
Huancavelica,6 de enero,Huancavelica,"Bajada de Reyes, Herodes en la Catedral, pastores
y quiscamayos. El Niño Occe."
Huancavelica,13 de enero,Huancavelica,Entrada de «Negros».
Huancavelica,13-16 de enero,Huancavelica (Iglesia de Santo Domingo),El Niño Perdido y Danza de los Negros.
Huancavelica,20 de enero,Tayacaja,La Virgen Purísima Inmaculada.
Huancavelica,2 de febrero,Huaytará,La Virgen Purificada. Virgen de la Candelaria.
Huancavelica,2-6 de febrero,Huancavelica,Mamacha Candelaria.
Huancavelica,5 de febrero,Huancavelica,Danza de los Negritos.
Huancavelica,10-15 de febrero,Huancavelica,Carnaval de Putaqa.
Huancavelica,Movible,Angaraes,Carnaval y Tumbamonte.
Huancavelica,18-25 de marzo,Acobamba,Fiesta Patronal de la Virgen del Carmen.
Huancavelica,19 de marzo,Huaytará,San José.
Huancavelica,Movible (marzo o abril),Huancavelica,"Domingo de Ramos: Procesión del Señor
Salvador. Lunes Santo: Procesión del Señor
del Prendimiento. Martes Santo: Procesión
del Señor de los Azotes."
Huancavelica,26 de abril,Huancavelica,"Creación política de Huancavelica
(1822)."
Huancavelica,28 de abril,Huancavelica,"Restitución de su Categoría de
Departamento (1839)."
Huancavelica,1-6 de mayo,Huancavelica,Fiesta de las Cruces.
Huancavelica,3 de mayo,"Castrovirreyna, Huaytará, Tayacaja","Fiesta de la Cruz. Fiesta del Tres de Mayo.
Bajada de la Cruz del Cerro San Cristóbal."
Huancavelica,5 de mayo,Huaytará,La Virgen del Carmen.
Huancavelica,15 de mayo,Huaytará,San Isidro.
Huancavelica,28 de mayo,Huancavelica,El Espíritu Santo.
Huancavelica,Movible,Huancavelica,El Señor de Quechccamarca.
Huancavelica,Movible (mayo o junio),Huancavelica,Papa Allay.
Huancavelica,13 de junio,Huaytará,San Antonio de Padua.
Huancavelica,24 de junio,"Huaytará, Castrovirreyna",San Juan Bautista.
Huancavelica,9 de julio,Huaytará,Fiesta Patronal de San José.
Huancavelica,16 de julio,"Huancavelica, Huaytará",Fiesta Patronal de la Virgen del Carmen.
Huancavelica,23-26 de julio,"Tayacaja, Huancavelica",Fiesta Patronal de Taita Shanti. Santiago.
Huancavelica,24-30 de julio,"Huancavelica, Huaytará",Fiesta Patronal de Santiago.
Huancavelica,25 de julio,"Huancavelica, Huaytará, Tayacaja","Santiago – Taita Shanti. Fiesta Patronal de
San Felipe."
Huancavelica,26 de julio,Huaytará,Santa Ana.
Huancavelica,Agosto,Castrovirreyna,Festividad de Santo Domingo.
Huancavelica,4-15 de agosto,Huancavelica,"Fundación española de la capital
de Huancavelica (1572) con el nombre de Villa
Rica de Oropesa."
Huancavelica,15 de agosto,Huaytará,Virgen de la Asunción.
Huancavelica,16 de agosto,Huancavelica,Festividad de San Roque.
Huancavelica,30 de agosto,"Huancavelica, Huaytará",Santa Rosa.
Huancavelica,Santa Rosa.,Huancavelica,Biga Wantuy / Qiru Wantuy.
Huancavelica,11-14 de setiembre,Castrovirreyna,El Señor de Huayllay.
Huancavelica,14 de setiembre,Tayacaja,Fiesta de la Santa Cruz.
Huancavelica,24 de setiembre,Huaytará,La Virgen de las Mercedes.
Huancavelica,Cuarta semana,Huancavelica,Semana Turística.
Huancavelica,29 de setiembre,Huaytará,Arcángel San Miguel y San Miguel de Curis.
Huancavelica,Todo el mes,Huancavelica,Turu Watay.
Huancavelica,2 de octubre,Huaytará,San Francisco de Asís.
Huancavelica,3 de octubre,Tayacaja,San Francisco.
Huancavelica,4 de octubre,Huaytará,"San Francisco de Asís. San Francisco
de Macho Cruz"
Huancavelica,15 de octubre,Huaytará,Fiesta de Octubre.
Huancavelica,2 de noviembre,Huancavelica,Día de las Almas.
Huancavelica,3 de noviembre,Huaytará,Fray Martín de Porres.
Huancavelica,8 de diciembre,Huaytará,La Virgen Purísima Inmaculada.
Huancavelica,20-25 de diciembre,Huaytará,Invención del Niño Jesús.
Huancavelica,23 de diciembre,Acobamba,"Navidad (encuentro de los barrios y entrada
de nacimientos en baúles)."
Huancavelica,24-25 de diciembre,Huancavelica,El Niño Lachoj.
Huancavelica,25 de diciembre,"Huancavelica, Huaytará",Navidad. Nacimiento del Niño Jesús.
Huancavelica,25 de diciembre – 3 de enero,Huaytará,Año Nuevo.
Huancavelica,31 de diciembre – 4 de enero,Tayacaja,Danza de Tijeras.
Huanuco,6 de enero,Huánuco,Danza de los Negritos
Huanuco,20 de enero,Huánuco,Festividad de San Sebastián
Huanuco,24 de enero,Humalíes,"Aniversario de la incorporación de la
provincia a Huánuco"
Huanuco,Febrero (movible),Huánuco,Carnavales
Huanuco,Marzo-Abril (movible),Todo el departamento,Semana Santa
Huanuco,01 de mayo,Ambo (San Rafael),Festividad del Señor de Chacos
Huanuco,01 al 07 de mayo,Lauricocha (Baños),"Festividad patronal del Señor de Mayo
y Semana Turística"
Huanuco,24 de junio,Leoncio Prado y Puerto Inca,Fiesta de San Juan
Huanuco,16 de julio,Ambo y Huamalíes (Llata),Festividad de la Virgen del Carmen
Huanuco,22 al 29 de julio,Leoncio Prado (Rupa Rupa),Fiesta de Tingo maría
Huanuco,27 de julio,Dos de mayo (Huánuco Pampa),Fiesta del Sol
Huanuco,15 de agosto,Huánuco,"Aniversario de la Fundación Española
y semana Turística de Huánuco"
Huanuco,30 de agosto,Ambo (Ambo y Tomayquichua),Festividad patronal de Santa Rosa de Lima
Huanuco,24 de setiembre,Marañón,Fiesta de la Virgen de las Mercedes
Huanuco,29 de setiembre,Ambo (Huácar),Festividad Patronal de San Miguel Arcángel
Huanuco,12 al 18 de octubre,Leoncio prado (Rupa Rupa),"Aniversario (fecha central 15 de octubre) y
Semana Turística de Tingo maría"
Huanuco,21 de octubre,Ambo,"Aniversario de la creación política
de Ambo"
Huanuco,27 al 30 de octubre,Huánuco,Festividad del Señor de Burgos
Huanuco,20 al 29 de octubre,Humalíes (Tantamayo),Semana Turística
Huanuco,05 al 12 de noviembre,Dos de Mayo (La Unión) y Huamlíes),Semana Turística
Huanuco,09 al 16 de noviembre,Ambo,"Aniversario de su fundación y Semana
Turística"
Huanuco,20 al 29 de noviembre,Pachitea (Panao),Semana Turística
Huanuco,21 al 24 de noviembre,Aucayacu,Aniversario de la ciudad
Huanuco,26 al 30 de noviembre,Pachitea (Panao),Aniversario y Semana Turística
Huanuco,24 de diciembre,Huánuco,Cofradía de negritos
Huanuco,31 de diciembre,"Ambo (Ambo, comunidad de Cochaquillo)",Festividad de San Silvestre
Huanuco,25 de diciembre,Huánuco,Fiesta de los Negritos
Ica,6 de enero,Chincha,Fiesta de los Reyes Magos
Ica,6 de enero,"El Carmen, Grocio Prado",Fiesta de cumpleaños de la Beatita Melchorita
Ica,Segunda semana,Chincha,Fiesta y danza de los Negritos
Ica,Tercera y cuarta semana,Chincha (Pueblo Nuevo y Alto Larán),Semana Turística y Aniversario del distrito
Ica,23 de enero,Nazca,Aniversario de la provincia
Ica,5 de febrero,Tambo de Mora,Aniversario del distrito
Ica,Febrero,ca,Fiesta de los carnavales de la Candelaria
Ica,13-15 de febrero,Ica (Huacachina),Fiesta de la Sirena
Ica,Última semana,Chincha,Festival de Verano negro
Ica,8-18 de marzo,Ica,Festival Internacional de la Vendimia
Ica,Movible (abril),Ica,Jueves Santo
Ica,Fechas diversas (mayo),Todo Ica,Fiesta de las Cruces
Ica,Segunda semana (mayo),Chincha e Ica,Semana Nacional del Pisco
Ica,08 de junio,Pisco (San Clemente),Aniversario del distrito
Ica,21 de junio,Pisco (Humay),Romería a la Beatita de Humay
Ica,29 de junio,Chincha (Tambo de Mora),Fiesta de San Pedro
Ica,Segunda quincena de julio,Nazca,Semana Turística
Ica,04 de agosto,Chincha,Fiesta de Santo Domingo de Guzmán
Ica,15 de agosto,Palpa,"Festival de la Naranja y Fiestas Patronales
de la Virgen del Socorro"
Ica,28 de agosto,Chincha (El Carmen),Semana Turística y aniversario del distrito
Ica,1-12 de setiembre,Nazca,Fiesta patronal de la Virgen de Guadalupe
Ica,Primera semana,Pisco,"Conmemoración del desembarco de la Expedición
Libertadora y Semana Turística"
Ica,Última semana,Ica,Semana turística de la ciudad
Ica,Última semana,Ica (Yauca del Rosario),"Peregrinación de la Virgen de Yauca del
Rosario"
Ica,Primer domingo de octubre,Ica (Yauca del Rosario),La Virgen del Rosario
Ica,Primer jueves y tercer lunes de octubre,Ica,Festividad del Señor de Luren
Ica,08 de octubre,Nazca,Fiesta de la Virgen de Guadalupe
Ica,13 de octubre,Chincha (Chincha Alta),Día cívico del distrito
Ica,20 de octubre,Chincha (Baja),Día cívico del distrito
Ica,Última semana,Chincha,"Semana Turística y aniversario de la
provincia"
Ica,01 de noviembre,Todo el departamento,Fiesta de Todos los Santos
Ica,21 de noviembre,Pisco (Humay),"Romería al santuario de la Beatita de
Humay"
Ica,22 de noviembre,Pisco,Aniversario de la villa de Pisco
Ica,04 de diciembre,Chincha (Grocio Prado),Aniversartio de la muerte de la Beata Melchorita
Ica,07 de diciembre,Chincha (Grocio Prado),Aniversario del distrito y semana turística
Ica,08 de diciembre,Nazca,Fiesta de la Concepción
Ica,12 de diciembre,Nazca,Fiesta de la Concepción
Ica,12 de diciembre,Chincha (Sunampe),Fiesta de la Virgen de Guadalupe
Ica,22 de diciembre,Chincha (Sunampe),Aniversario del distrito
Ica,25 de diciembre,Ica,Paseo de los Negritos
Ica,26 de diciembre,Chincha,Navidad Negra
Ica,27 de diciembre,Chincha,Festividad de la Virgen del Carmen
Ica,28 de diciembre,Chincha (Topará),Fiesta de la Virgen de Topará
Junin,01 de enero,"Huancayo, Chupaca, Jauja, Concepción","Fiesta del Niño Jesús, Danzas
de la pachahura o negrería, del corcovado,
del latashauquish, del chacranegro, de la huaconada,
de la huaylijía y tunantada, Jesús
Salvador y Danza de los viejos principales."
Junin,01-02 de enero,Huancayo,San Sebastián.
