Departamento,Festividad,Título del Video,URL
Ancash,Fiesta de San Pedro y San Pablo,PISCOBAMBA ANCASH FIESTA SAN PEDRO Y SAN PABLO 2025,https://www.youtube.com/watch?v=sUQnM44Q-aI&pp=ygUsRmllc3RhIGRlIFNhbiBQZWRybyB5IFNhbiBQYWJsbyBBbmNhc2ggUGVyw7o%3D
Ancash,"Festividad de Santa Isabel o la Virgen de las
Cosechas",PERÚ PROFUNDO 🇵🇪| Festividad en honor a la virgen María y Santa Isabel en Ancash - 08 de Julio,https://www.youtube.com/watch?v=WNkCxQ_XJ0U&pp=ygVCRmVzdGl2aWRhZCBkZSBTYW50YSBJc2FiZWwgbyBsYSBWaXJnZW4gZGUgbGFzQ29zZWNoYXMgQW5jYXNoIFBlcsO6
Ancash,Santa Isabel,🎉 FIESTA de la VIRGEN MARÍA y SANTA ISABEL de HUAYLAS 2011 ❤ PROCESIÓN PARTE 1 🙏🏼✨,https://www.youtube.com/watch?v=8dkrAJxbtyY&pp=ygUZU2FudGEgSXNhYmVsIEFuY2FzaCBQZXLDug%3D%3D
Ancash,Fiesta Patronal,FIESTA DE TAYA - PAROBAMBA ANCASH PERU,https://www.youtube.com/watch?v=m96IICZSZnc&pp=ygUcRmllc3RhIFBhdHJvbmFsIEFuY2FzaCBQZXLDug%3D%3D
Ancash,Fiesta de Santiago el Mayor,"FESTIVIDAD EN HONOR AL APOSTOL SANTIAGO ""EL MAYOR"" CABANA ANCASH 2022 CARLOS MATIENZO ARANDA E HIJOS",https://www.youtube.com/watch?v=q3ugQTix0SE&pp=ygUoRmllc3RhIGRlIFNhbnRpYWdvIGVsIE1heW9yIEFuY2FzaCBQZXLDug%3D%3D
Ancash,Fiesta de la Virgen del Carmen,Fiesta Patronal de Huanchi / Ancash / Virgen del Carmen (Puente Piedra 2022 - Llaqta Peru),https://www.youtube.com/watch?v=rRlimzMOCH0&pp=ygUrRmllc3RhIGRlIGxhIFZpcmdlbiBkZWwgQ2FybWVuIEFuY2FzaCBQZXLDug%3D%3D
Ancash,María Magdalena,REPORTAJE MARIA MAGDALENA - MARCA LA K Y ESCRIBE EL 3 POR ANCASH,https://www.youtube.com/watch?v=M_Krh_7RxMY&pp=ygUdTWFyw61hIE1hZ2RhbGVuYSBBbmNhc2ggUGVyw7o%3D
Ancash,"Semana Turística del Callejón
de Huaylas",Reportaje al Perú: Callejón de Huaylas y sus montañas (18/06/2023) | TVPerú,https://www.youtube.com/watch?v=fKy3dhfx6oE&pp=ygU2U2VtYW5hIFR1csOtc3RpY2EgZGVsIENhbGxlasOzbmRlIEh1YXlsYXMgQW5jYXNoIFBlcsO6
Ancash,Fiesta de San Cristóbal,ANYI DEL PERU - LAS QUIYAYAS DE RAJAN # 1,https://www.youtube.com/watch?v=lQ1XbnJg7EI&pp=ygUlRmllc3RhIGRlIFNhbiBDcmlzdMOzYmFsIEFuY2FzaCBQZXLDug%3D%3D
Ancash,Fiesta de Santa Ana,"Fiesta Santa Ana de Cochabamba 2023/ Cochabamba, Ancash, Perú.",https://www.youtube.com/watch?v=o4ic8E4lZrg&pp=ygUgRmllc3RhIGRlIFNhbnRhIEFuYSBBbmNhc2ggUGVyw7o%3D
Ancash,Fiesta del Apóstol Santiago,"SET 1 PROGRAMA ESPECIAL AL APÓSTOL SANTIAGO, CABANA, PERÚ",https://www.youtube.com/watch?v=LzntEln3ecg&pp=ygUpRmllc3RhIGRlbCBBcMOzc3RvbCBTYW50aWFnbyBBbmNhc2ggUGVyw7o%3D
Ancash,La Virgen del Carmen,IGLESIA CHAVÍN -virgen del Carmen -HUARI -ANCASH PERÚ x KLEY ALCOR,https://www.youtube.com/watch?v=4uJThX7tNSo&pp=ygUhTGEgVmlyZ2VuIGRlbCBDYXJtZW4gQW5jYXNoIFBlcsO6
Ancash,Fiesta Patronal de la Virgen de las Nieves,DOCUMENTAL PROV. DE SIHUAS - ANCASH - F.P. VIRGEN DE LAS NIEVES,https://www.youtube.com/watch?v=tulCrRJN38Y&pp=ygU3Rmllc3RhIFBhdHJvbmFsIGRlIGxhIFZpcmdlbiBkZSBsYXMgTmlldmVzIEFuY2FzaCBQZXLDug%3D%3D
Ancash,"Tauca), Yungay, Sto Domingo Santo Domingo",FESTIVIDAD EN HONOR A SANTO DOMINGO DE GUZMAN TAUCA -PALLASCA - ANCASH | LIMA 17 DE AGOSTO 2024,https://www.youtube.com/watch?v=6T1atjVZdaM&pp=ygU2VGF1Y2EpLCBZdW5nYXksIFN0byBEb21pbmdvIFNhbnRvIERvbWluZ28gQW5jYXNoIFBlcsO6
Ancash,Fiesta Patronal de la Virgen de las Nieves,DOCUMENTAL PROV. DE SIHUAS - ANCASH - F.P. VIRGEN DE LAS NIEVES,https://www.youtube.com/watch?v=tulCrRJN38Y&pp=ygU3Rmllc3RhIFBhdHJvbmFsIGRlIGxhIFZpcmdlbiBkZSBsYXMgTmlldmVzIEFuY2FzaCBQZXLDug%3D%3D
Ancash,"Huari, Huaylas Fiesta de la Virgen de la Asunción",Huaylas 2024_FIESTA PATRONAL EN HONOR A LA VIRGEN MARÍA Y SANTA ISABEL,https://www.youtube.com/watch?v=67aVxGR7B58&pp=ygU_SHVhcmksIEh1YXlsYXMgRmllc3RhIGRlIGxhIFZpcmdlbiBkZSBsYSBBc3VuY2nDs24gQW5jYXNoIFBlcsO6
Ancash,Fiesta de la Virgen del Rosario,"Festividad en Honor a la ""Virgen del Rosario""-Patrona de Musga, Ancash // Residentes en Lima.",https://www.youtube.com/watch?v=S8Qqzu7riTI&pp=ygUsRmllc3RhIGRlIGxhIFZpcmdlbiBkZWwgUm9zYXJpbyBBbmNhc2ggUGVyw7rSBwkJ2AkBhyohjO8%3D
Ancash,El Señor de Santa 20-22 de agosto,PERÚ PROFUNDO 🇵🇪| Festividad del señor crucificado de santa (Áncash) - 11 de agosto,https://www.youtube.com/watch?v=bGCFkE9fnGE&pp=ygUvRWwgU2XDsW9yIGRlIFNhbnRhIDIwLTIyIGRlIGFnb3N0byBBbmNhc2ggUGVyw7rSBwkJ2AkBhyohjO8%3D
Ancash,Fiesta de la Virgen del Carmen,Fiesta Patronal de Huanchi / Ancash / Virgen del Carmen (Puente Piedra 2022 - Llaqta Peru),https://www.youtube.com/watch?v=rRlimzMOCH0&pp=ygUrRmllc3RhIGRlIGxhIFZpcmdlbiBkZWwgQ2FybWVuIEFuY2FzaCBQZXLDug%3D%3D
Ancash,San Agustín,"Fiesta Patronal de San Agustín de Pucur en Ancash, Perú",https://www.youtube.com/watch?v=j_5wyFu1DEo&list=RDj_5wyFu1DEo&start_radio=1&pp=ygUZU2FuIEFndXN0w61uIEFuY2FzaCBQZXLDuqAHAQ%3D%3D
Ancash,Fiesta religiosa de Antuhuarán,"PISCOBAMBA ANCASH FIESTA RELIGIOSA ""SEMANA SANTA"" 2015",https://www.youtube.com/watch?v=e3qWDSWVAzI&pp=ygUsRmllc3RhIHJlbGlnaW9zYSBkZSBBbnR1aHVhcsOhbiBBbmNhc2ggUGVyw7o%3D
Ancash,,Reportaje al Perú: Áncash (22/09/2024) | TVPerú,https://www.youtube.com/watch?v=z56Llh3sSXs&pp=ygUNIEFuY2FzaCBQZXLDug%3D%3D
Ancash,Fiesta de la Santa Cruz,Fiesta patronal de Santa Cruz de Rurec provincia de Aija - Ancash,https://www.youtube.com/watch?v=uPlojgrHubg&pp=ygUkRmllc3RhIGRlIGxhIFNhbnRhIENydXogQW5jYXNoIFBlcsO6
Ancash,"«Octava» de la Virgen de las Mercedes
de Carhuaz","Baile, gastronomía y misticismo en la ciudad de Carhuaz: ""La fiesta más duradera del Perú""",https://www.youtube.com/watch?v=D5C18uXgVRw&pp=ygU-wqtPY3RhdmHCuyBkZSBsYSBWaXJnZW4gZGUgbGFzIE1lcmNlZGVzZGUgQ2FyaHVheiBBbmNhc2ggUGVyw7o%3D
Ancash,Fiesta de San Francisco de Asís,𝐅𝐈𝐄𝐒𝐓𝐀 𝐏𝐀𝐓𝐑𝐎𝐍𝐀𝐋 𝐄𝐍 𝐇𝐎𝐍𝐎𝐑 𝐀: 𝗦𝗔𝗡 𝗙𝗥𝗔𝗡𝗖𝗜𝗦𝗖𝗢 𝗗𝗘 𝗔𝗦𝗜𝗦 -HUANCHAY- 𝗦𝗜𝗡𝗙𝗢𝗡𝗜𝗖𝗔 𝗔𝗡𝗖𝗔𝗦𝗛 𝗣𝗘𝗥Ú 𝗟𝗔 𝗚𝗥𝗔𝗡𝗗𝗜𝗢𝗦𝗔,https://www.youtube.com/watch?v=5WxOHlQCx5Q&list=RD5WxOHlQCx5Q&start_radio=1&pp=ygUtRmllc3RhIGRlIFNhbiBGcmFuY2lzY28gZGUgQXPDrXMgQW5jYXNoIFBlcsO6oAcB
Ancash,La Virgen del Rosario,"Festividad en Honor a la ""Virgen del Rosario""-Patrona de Musga, Ancash // Residentes en Lima.",https://www.youtube.com/watch?v=S8Qqzu7riTI&pp=ygUiTGEgVmlyZ2VuIGRlbCBSb3NhcmlvIEFuY2FzaCBQZXLDug%3D%3D
Ancash,San Miguelito,"Pueblo muy Pequeño Tiene la FIESTA más Grande del Perú / ""San Miguelito de Chinchurajra""",https://www.youtube.com/watch?v=-wbOCtwA5K0&pp=ygUaU2FuIE1pZ3VlbGl0byBBbmNhc2ggUGVyw7o%3D
Ancash,La Virgen del Rosario,VIRGEN DEL ROSARIO - OCROS ANCASH PERU,https://www.youtube.com/watch?v=AL2i5xGbXLI&pp=ygUiTGEgVmlyZ2VuIGRlbCBSb3NhcmlvIEFuY2FzaCBQZXLDug%3D%3D
Ancash,La Virgen del Rosario,VIRGEN DEL ROSARIO - OCROS ANCASH PERU,https://www.youtube.com/watch?v=AL2i5xGbXLI&pp=ygUiTGEgVmlyZ2VuIGRlbCBSb3NhcmlvIEFuY2FzaCBQZXLDug%3D%3D
Ancash,Fiesta Patronal,FIESTA DE TAYA - PAROBAMBA ANCASH PERU,https://www.youtube.com/watch?v=m96IICZSZnc&pp=ygUcRmllc3RhIFBhdHJvbmFsIEFuY2FzaCBQZXLDug%3D%3D
Ancash,El Señor de la Exaltación,Festividad en honor al Señor de la Exaltación en Tzactza - Áncash,https://www.youtube.com/watch?v=XXi_izPlr_c&pp=ygUoRWwgU2XDsW9yIGRlIGxhIEV4YWx0YWNpw7NuIEFuY2FzaCBQZXLDug%3D%3D
Ancash,La Virgen del Rosario,Ocros Ancash Peru Virgen del Rosario 2011 3,https://www.youtube.com/watch?v=Uth3NgvAy4o&pp=ygUiTGEgVmlyZ2VuIGRlbCBSb3NhcmlvIEFuY2FzaCBQZXLDug%3D%3D
Ancash,"Peregrinación y procesión del
Señor Cautivo",Piura: Peregrinos llegan de rodillas para venerar la imagen del Señor Cautivo de Ayabaca,https://www.youtube.com/watch?v=yHFvwNH5Q3c&pp=ygU6UGVyZWdyaW5hY2nDs24geSBwcm9jZXNpw7NuIGRlbFNlw7FvciBDYXV0aXZvIEFuY2FzaCBQZXLDug%3D%3D
Ancash,Todos los Santos,Procesión de SANTOS Devotos de los Pueblos del ANDE / Huari Ancash,https://www.youtube.com/watch?v=wPeIgGFuCNM&pp=ygUdVG9kb3MgbG9zIFNhbnRvcyBBbmNhc2ggUGVyw7rSBwkJ2AkBhyohjO8%3D
Ancash,Fiesta de Todos los Santos,Carhuaz Ancash 1965 HUARAZ 1957 FIESTA DE TODOS LOS SANTOS 1969 Peliculas Antiguas Ancash Carhuaz,https://www.youtube.com/watch?v=IBhxqkVsNW0&pp=ygUnRmllc3RhIGRlIFRvZG9zIGxvcyBTYW50b3MgQW5jYXNoIFBlcsO60gcJCdgJAYcqIYzv
Ancash,Día de los difuntos,Áncash: encuentran los cuerpos de los tres montañistas desaparecidos en nevado Artesonraju,https://www.youtube.com/watch?v=sn_bqgljKUQ&pp=ygUhRMOtYSBkZSBsb3MgZGlmdW50b3MgQW5jYXNoIFBlcsO6
