departamento,lugar_recomendado,descripcion,precio,duracion,url
Ayacucho,Apartamento en Rimac,Departamento para 4 personas,S/660,por 5 noches,https://www.airbnb.com.pe/rooms/1401733864114497394?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048180_P33Ir_V4mHOihpjI&previous_page_section_name=1000&federated_search_id=ebf2211e-acf9-4843-8d60-1e50e74e694c
Ayacucho,Apartamento en San Martín de Porres,Departamento cerca al aeropuerto,S/388,por 5 noches,https://www.airbnb.com.pe/rooms/1325792943142510738?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752048180_P3HBz9-HLka9yxug&previous_page_section_name=1000&federated_search_id=ebf2211e-acf9-4843-8d60-1e50e74e694c
Ayacucho,Condo en Comas,Depa privado estilo Loft cerca al mall de comas,S/461,por 5 noches,https://www.airbnb.com.pe/rooms/1441665835794865237?search_mode=regular_search&adults=1&check_in=2025-07-30&check_out=2025-08-04&children=0&infants=0&pets=0&source_impression_id=p3_1752048180_P3UZ53P1d1FTSQKx&previous_page_section_name=1000&federated_search_id=ebf2211e-acf9-4843-8d60-1e50e74e694c
Ayacucho,Alojamiento en Lima,Dpto cerca del CC Plaza Norte / UNI y Terminal,S/602,por 5 noches,https://www.airbnb.com.pe/rooms/930305808202994726?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048180_P3JIesqkAGIFjVWS&previous_page_section_name=1000&federated_search_id=ebf2211e-acf9-4843-8d60-1e50e74e694c
Ayacucho,Apartamento en Lima,"Favorito, Lima norte Internet de alta velocidad",S/391,por 5 noches,https://www.airbnb.com.pe/rooms/1418262909172898746?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048180_P3B3EngWQ6bKTO5N&previous_page_section_name=1000&federated_search_id=ebf2211e-acf9-4843-8d60-1e50e74e694c
Ayacucho,Habitación en Los Olivos,"Habitación indep c/garaje, Netflix wifi Los Olivos",S/514,por 5 noches,https://www.airbnb.com.pe/rooms/1402304313713301130?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&photo_id=2156167313&source_impression_id=p3_1752048180_P3l8fGsny7f6fS5J&previous_page_section_name=1000&federated_search_id=ebf2211e-acf9-4843-8d60-1e50e74e694c
Ayacucho,Apartamento en Los Olivos,Departam c/cochera Los Olivos a 20 min Aeropuerto,S/718,por 5 noches,https://www.airbnb.com.pe/rooms/1211147026446851791?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048180_P3FpCbGY7_cmZJ9P&previous_page_section_name=1000&federated_search_id=ebf2211e-acf9-4843-8d60-1e50e74e694c
Ayacucho,Apartamento en Jesús María,"Salaverry 1409, Céntrico y Moderno",S/827,por 5 noches,https://www.airbnb.com.pe/rooms/1453982052580579518?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752048180_P3JjcyhTKCpQXl5l&previous_page_section_name=1000&federated_search_id=ebf2211e-acf9-4843-8d60-1e50e74e694c
Cajamarca,Alojamiento en Cajamarca,Acogedora Habitación Familiar (3G),S/380,por 5 noches,https://www.airbnb.com.pe/rooms/1358265514319192819?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048191_P3uFOEh4z28yl_iH&previous_page_section_name=1000&federated_search_id=73a777be-1d3a-478c-a62c-683c92017c4d
Cajamarca,Apartamento en Cajamarca,Departamento 3A,S/648,por 5 noches,https://www.airbnb.com.pe/rooms/1109703136786525915?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752048193_P3f-sK5IULHhsYel&previous_page_section_name=1000&federated_search_id=73a777be-1d3a-478c-a62c-683c92017c4d
Cajamarca,Lugar para quedarse en Cajamarca,Habitación elegante y acogedora cama Queen/Kitak 6,S/409,por 5 noches,https://www.airbnb.com.pe/rooms/42074725?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1752048193_P3SOMsV2v8cCq72i&previous_page_section_name=1000&federated_search_id=73a777be-1d3a-478c-a62c-683c92017c4d
Cajamarca,Habitación en Cajamarca,Acogedora Habitación Familiar (3P),S/409,por 5 noches,https://www.airbnb.com.pe/rooms/1363246474014740632?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-14&check_out=2025-07-19&children=0&infants=0&pets=0&photo_id=2108566117&source_impression_id=p3_1752048193_P3JJ2SiuC9lRYTuM&previous_page_section_name=1000&federated_search_id=73a777be-1d3a-478c-a62c-683c92017c4d
Cajamarca,Loft en Cajamarca,Apartamento Loft,S/445,por 5 noches,https://www.airbnb.com.pe/rooms/1366799388149987623?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1752048193_P3sQsMM_4C9cUyxr&previous_page_section_name=1000&federated_search_id=73a777be-1d3a-478c-a62c-683c92017c4d
Cajamarca,Apartamento en Cajamarca,403 Departamento con ubicación estratégica.,S/642,por 5 noches,https://www.airbnb.com.pe/rooms/939404083299155225?search_mode=regular_search&adults=1&check_in=2025-08-03&check_out=2025-08-08&children=0&infants=0&pets=0&source_impression_id=p3_1752048193_P3e0Z0KrGkZaRhjX&previous_page_section_name=1000&federated_search_id=73a777be-1d3a-478c-a62c-683c92017c4d
Cajamarca,Habitación en Cajamarca,Habitación del Sauce I,S/315,por 5 noches,https://www.airbnb.com.pe/rooms/1169007968046810973?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&photo_id=2153288922&source_impression_id=p3_1752048193_P3f4GMU3LwF5GPkW&previous_page_section_name=1000&federated_search_id=73a777be-1d3a-478c-a62c-683c92017c4d
Cajamarca,Habitación en Cajamarca,Acogedor mini depa cèntrico,S/267,,https://www.airbnb.com.pe/rooms/1247407851763657279?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-12&check_out=2025-07-17&children=0&infants=0&pets=0&photo_id=1995133465&source_impression_id=p3_1752048193_P3zauTercn5XH_cL&previous_page_section_name=1000&federated_search_id=73a777be-1d3a-478c-a62c-683c92017c4d
Cajamarca,Habitación en Cajamarca,Habitación del Sol (Privada),S/317,por 5 noches,https://www.airbnb.com.pe/rooms/889789889702127344?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-29&check_out=2025-08-03&children=0&infants=0&pets=0&photo_id=1663990675&source_impression_id=p3_1752048193_P3De15xGZ2vCsEfx&previous_page_section_name=1000&federated_search_id=73a777be-1d3a-478c-a62c-683c92017c4d
Cajamarca,Apartamento en Cajamarca,"Alameda Céntrico, seguro junto a Megaplaza 2°Piso",S/759,por 5 noches,https://www.airbnb.com.pe/rooms/1432945993223996289?search_mode=regular_search&adults=1&check_in=2025-08-10&check_out=2025-08-15&children=0&infants=0&pets=0&source_impression_id=p3_1752048193_P3WRGNt21gH9JFEv&previous_page_section_name=1000&federated_search_id=73a777be-1d3a-478c-a62c-683c92017c4d
Callao,Apartamento en Callao,Apartamento moderno cerca al aeropuerto de Lima,S/506,,https://www.airbnb.com.pe/rooms/1400124903756568118?search_mode=regular_search&adults=1&check_in=2025-07-12&check_out=2025-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1752048204_P3avRojyfr-PG8Zo&previous_page_section_name=1000&federated_search_id=1010b50d-4cc5-4ebf-8403-0a56e6ff8cb1
Callao,Apartamento en Callao,A 15 min Aeropuerto | Acogedor,S/481,por 5 noches,https://www.airbnb.com.pe/rooms/1448063666689609034?search_mode=regular_search&adults=1&check_in=2025-07-12&check_out=2025-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1752048206_P3O7Gg7BSRFMoVk8&previous_page_section_name=1000&federated_search_id=1010b50d-4cc5-4ebf-8403-0a56e6ff8cb1
Callao,Apartamento en Callao,Departamento en Condominio Villanova 4 Callao,S/692,por 5 noches,https://www.airbnb.com.pe/rooms/1388881388292743361?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048206_P36HUTcptl6npfOp&previous_page_section_name=1000&federated_search_id=1010b50d-4cc5-4ebf-8403-0a56e6ff8cb1
Callao,Apartamento en Callao,Amaneceres Espectaculares: Cerca al Aeropuerto,S/654,por 5 noches,https://www.airbnb.com.pe/rooms/1376951924918713945?search_mode=regular_search&adults=1&check_in=2025-07-28&check_out=2025-08-02&children=0&infants=0&pets=0&source_impression_id=p3_1752048206_P3MNsBwWGAlQujCo&previous_page_section_name=1000&federated_search_id=1010b50d-4cc5-4ebf-8403-0a56e6ff8cb1
Callao,Apartamento en Callao,Departamento Condominio Villanova 3 Callao,S/724,por 5 noches,https://www.airbnb.com.pe/rooms/1179634015734849388?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752048206_P3SVFZrO8Yi4Y3te&previous_page_section_name=1000&federated_search_id=1010b50d-4cc5-4ebf-8403-0a56e6ff8cb1
Callao,Apartamento en La Perla,Dpto en Costanera de estreno frente al mar,S/888,por 5 noches,https://www.airbnb.com.pe/rooms/1338389714174115377?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048206_P3cWfZDiqprdG2cA&previous_page_section_name=1000&federated_search_id=1010b50d-4cc5-4ebf-8403-0a56e6ff8cb1
Callao,Apartamento en Callao,Alojamiento MG,S/447,por 5 noches,https://www.airbnb.com.pe/rooms/1297982981682728389?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752048206_P3So5fekzqM5yY06&previous_page_section_name=1000&federated_search_id=1010b50d-4cc5-4ebf-8403-0a56e6ff8cb1
Callao,Apartamento en La Perla,Nuevo departamento de dos habitaciones y cochera.,S/546,por 5 noches,https://www.airbnb.com.pe/rooms/1205297984842475639?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048206_P3zQCJmgJeD48rVr&previous_page_section_name=1000&federated_search_id=1010b50d-4cc5-4ebf-8403-0a56e6ff8cb1
